"Course Title","Credits","Subject code","Course Number","Academic Level","Course Description","General Education Labels","Requisites"
"17th Cen Lit Prior Restoration","-","ENGL","406","Undergraduate","Metaphysical and cavalier poetry and other nondramatic literature from 1600 to 1660, exclusive of Miltons poetry. Prereq: ENGL 110, 237.","-","Yes"
"17th Century Anglo-America","-","HIST","490","Undergraduate","This perspectives course introduces students to the use of anthropological methods in studying past societies through examinations of small communities in England and America. Offered annually. Prereq: COMM 100, ENGL 110 and junior status.","Perspectives (P)","Yes"
"17th Century British America","-","HIST","351","Undergraduate","The founding and growth of the British Colonies to the Glorious Revolution of 1688, with particular attention devoted to society, beliefs and government. Offered annually. Prereq: ENGL 110.","G3, Writing (W)","Yes"
"18th Century Literature","-","SPAN","584","Graduate","CR. Seminar in Eighteenth- Century Literature","-","No"
"19th Century Literature","-","SPAN","585","Graduate","CR. Seminar in Nineteenth- Century Literature","-","No"
"19th Century Literature","-","SPAN","485","Undergraduate","CR. Seminar in Nineteenth- Century Literature","-","No"
"20th Century Literature","-","SPAN","586","Graduate","CR. Seminar in Twentieth- Century Literature","-","No"
"20th Century Literature","-","SPAN","486","Undergraduate","CR. Seminar in Twentieth- Century Literature","-","No"
"21st Century Math","-","MATH","622","Graduate","The intent of the course, Teaching Mathematics in The 21st Century, is to examine, study, and analyze teaching techniques and alternate approaches to teaching and learning mathematics in the 21st century. Students will experiment with a variety of pedagogies that are more in-line with the way in which 21st century students live rather than how they are often taught. Comparisons of multiple pedagogies (current, past and potential future) will be frequently made and discussed.","-","No"
"2D Design","-","ART","142","Undergraduate","Introduces two-dimensional design and composition, applicable to all art forms, in which students seek original, creative solutions to problems. Design principles and methods are employed as students learn language and visual communications techniques. Artistic production, criticism, analysis and evaluation are central to this course. For both non-art and art majors. Offered in fall, spring.","G1","No"
"3D Design","-","ART","242","Undergraduate","Introduces visual composition as related to organizing and working with three-dimensional space. The student seeks original, creative solutions to visual problems by exploring methods and techniques. Covers fundamental visual grammar and principles. Offered in fall, spring. Prereq: ART 142.","-","Yes"
"3D Digital Design","-","ART","243","Undergraduate","Introduces visual composition related to organizing and working with digital three-dimensional space and digital fabrication. The student seeks original, creative solutions to visual problems by exploring methods and techniques. Covers fundamental visual grammar and principles.  Offered in summer. ","-","No"
"7-12 Assessment","-","MATH","618","Graduate","Course for secondary mathematics teachers who wish to explore the nature of the mathematics assessment from a variety of perspectives. The course will examine traditional and non-traditional forms to assessment as well as the purpose of formative and summative assessments - allowing for discussion of the pros and cons to each. The course will also examine the impact of assessment tools on individual classroom instruction as well as within local departments, schools, districts, states and national education issues. The course will seek to actively involve teachers in a productive dialogue about the mathematics that they teach and explore a variety of levels at which the mathematics can be assessed. In otder to do this, it will be necessary at times to expand and explore K-16 mathematics assessment at some length.","-","No"
"Abnormal Psychology","-","PSYC","337","Undergraduate","A comprehensive study of the etiology, characteristics and treatment in the categories of abnormal behavioral manifestation. Offered in fall, spring. Prereq: ENGL 110 and PSYC 100.","G3, Writing (W)","Yes"
"Abstract Algebra 1","-","MATH","345","Undergraduate","Groups, rings, fields, integral domains. Emphasis on structure of algebra. Prereq: C- or higher in MATH 310 and 322.","-","Yes"
"Abstract Algebra 2","-","MATH","445","Undergraduate","Continuation of MATH 345. Introduction to field theory, rings of polynomials, introduction to Galois theory. Offered periodically. Prereq: C- or higher in MATH 345.","-","Yes"
"Academic Assess & Intervention in MTSS","-","PSYC","672","Graduate","Prepare students to assist schools in the provision of appropriate academic programming for children within the context of current federal and state regulations. A multi-tiered system of academic service delivery will be used as a framework for developing appropriate assessments. Students will learn to conduct assessments that answer academic referral questions, inform intervention design, and measure intervention integrity and effectiveness. Ecological and direct assessments will be discussed in depth. Solution-focused report writing skills utilizing an RTI/MTSS approach will be introduced and developed. Offered annually.","-","No"
"Accomplished SPED Capstone","-","SPED","695","Graduate","This course enables the student to put theory into practice as it pertains to the professional contributions of an accomplished special education teacher. In accordance with the ongoing consultation of the instructor, the student will design, implement, and reflect upon a major capstone project aligned with the objectives of the program. Capstone examples include, but are not limited to (a.) action research, (b) creation/presentation of professional development, (c.) creation/presentation of original scholarship at a professional conference, (d.) mentorship of a pre-service or new special education teacher, (e.) grant writing. The course is 3 hours (pass/fail). However, if the student is unable to complete all requirements of the course during a single semester, they may re-enroll for 1 credit up to 2 additional, consecutive semesters for a total of 5 credits.This course requires both in-class instruction and out of class application. Regular access to a special education classroom is highly recommended. Pre-requisites: Completion of all SpEd MEd coursework. Up to 6 credits (not from the Knowledge Core) may be taken concurrently.","-","No"
"Accounting Information System","-","ACCT","363","Undergraduate","Special emphasis on current problems and issues using small business accounting software. Offered infrequently. Prereq: C- or higher in ACCT 361.","-","Yes"
"Acting 1","-","THEA","130","Undergraduate","Training in the art and craft of acting. Emphasis on developing basic skills and exploring the creative process. Elementary scene and monologue work. Offered in fall.","G1","No"
